xuchang	许昌	500.0	258.6	1229	666
nanyang	南阳	410.0	331.4	1008	845
xuzhou	徐州	608.0	279.4	1495	717
luoyang	洛阳	374.0	217.0	920	564
guandu	官渡	482.0	237.8	1185	615
hedong	河东	320.0	196.3	787	513
ye	邺城	482.0	165.1	1185	436
qingzhou	青州	608.0	175.5	1495	461
youzhou	蓟城	518.0	71.5	1274	206
bingzhou	晋阳	347.0	97.5	853	270
liangzhou	姑臧	86.0	196.3	211	513
wuwei	武威	122.0	165.1	300	436
tianshui	天水	185.0	263.8	455	679
changan	长安	293.0	243.0	720	628
hanzhong	汉中	248.0	331.4	610	845
chengdu	成都	194.0	424.9	477	1075
yizhou_n	梓潼	230.0	372.9	566	947
bazhong	巴中	257.0	398.9	632	1011
xiangyang	襄阳	419.0	357.3	1030	909
jingzhou	江陵	437.0	430.1	1075	1088
yiling	夷陵	356.0	404.1	875	1024
jianye	建业	662.0	393.7	1628	998
jingkou	京口	770.0	362.5	1893	921
huiji	会稽	842.0	456.1	2070	1151
wuchang	武昌	491.0	430.1	1207	1088
chaigang	柴桑	545.0	398.9	1340	1011
jiaozhou	交州	401.0	627.5	986	1573
panyu	番禺	482.0	653.5	1185	1637
hefei	合肥	590.0	310.6	1451	794
shouchun	寿春	581.0	305.4	1429	781
jianning	建宁	158.0	549.6	388	1381
yongan	永安	275.0	492.4	676	1241
beihai	北海	698.0	133.9	1716	359
beiping	北平	626.0	81.9	1539	231
guangling	广陵	752.0	321.0	1849	819
changsha	长沙	518.0	518.4	1274	1305
yuzhang	豫章	608.0	528.8	1495	1330
lingling	零陵	464.0	580.8	1141	1458
chenliu	陈留	500.0	217.0	1229	564
xinye	新野	410.0	300.2	1008	768
puyang	濮阳	536.0	196.3	1318	513
xiapi	下邳	671.0	305.4	1650	781
shangyong	上庸	329.0	367.7	809	934
luocheng	雒城	203.0	409.3	499	1036
lujiang	庐江	608.0	372.9	1495	947
bohai	南皮	590.0	123.5	1451	334
pingyuan	平原	554.0	154.7	1362	410
zhuojun	涿郡	491.0	97.5	1207	270
xiaopei	小沛	572.0	258.6	1406	666
donghai	东海	761.0	295.0	1871	755
wuling	武陵	410.0	497.6	1008	1254
shangdang	上党	338.0	154.7	831	410
anding	安定	221.0	222.2	543	576
suzhou	吴郡	824.0	414.5	2026	1049
langya	琅琊	689.0	222.2	1694	576
